Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-04-27,2023-04-28,7800,NJMVC LODI,Other Services,34.00,
2023-04-26,2023-04-27,7800,HARRIS CLIFTON,Dining,5.32,
2023-04-26,2023-04-27,7800,HARRIS CLIFTON,Dining,6.17,
2023-04-25,2023-04-26,7800,S & Y AUTO REPAIR LLC,Gas/Automotive,84.98,
2023-04-25,2023-04-26,7800,FUEL 11,Gas/Automotive,61.73,
2023-04-25,2023-04-26,7800,HARRIS CLIFTON,Dining,7.03,
2023-04-25,2023-04-26,7800,WWW.MICHAELJFOX.ORG,Other Services,25.75,
2023-04-24,2023-04-25,7800,CVS/PHARMACY #06064,Healthcare,103.73,
2023-04-23,2023-04-24,7800,STOP & SHOP 0813,Merchandise,18.68,
2023-04-22,2023-04-24,7800,AMER MUS NAT HIST TIX,Other,24.00,
2023-04-22,2023-04-24,7800,CHIPOTLE 0817,Dining,22.23,
2023-04-22,2023-04-24,7800,HUDSON-DUNKIN ST211,Dining,18.46,
2023-04-22,2023-04-24,7800,MTA*NYCT PAYGO,Other Travel,2.75,
2023-04-22,2023-04-24,7800,MTA*NYCT PAYGO,Other Travel,2.75,
2023-04-21,2023-04-24,7800,MTA*NYCT PAYGO,Other Travel,2.75,
2023-04-21,2023-04-24,7800,MTA*NYCT PAYGO,Other Travel,2.75,
2023-04-21,2023-04-24,7800,MTA*NYCT PAYGO,Other Travel,2.75,
2023-04-22,2023-04-24,7800,NJT RAIL - MYTIX,Other Travel,5.50,
2023-04-22,2023-04-24,7800,NJT RAIL - MYTIX,Other Travel,4.25,
2023-04-22,2023-04-24,7800,NJT MOBILE 3001,Other Travel,2.25,
2023-04-22,2023-04-24,7800,NJT MOBILE 3001,Other Travel,8.50,
2023-04-21,2023-04-24,7800,PARKINGCOM,Gas/Automotive,30.99,
2023-04-20,2023-04-21,7800,STOP & SHOP 0813,Merchandise,66.53,
2023-04-20,2023-04-21,7800,HARRIS CLIFTON,Dining,12.76,
2023-04-19,2023-04-20,7800,CMSVEND*CULINARY VENTU,Dining,3.00,
2023-04-19,2023-04-20,7800,HARRIS CLIFTON,Dining,7.03,
2023-04-19,2023-04-20,7800,STEAM PURCHASE,Internet,31.89,
2023-04-18,2023-04-19,7800,HARRIS CLIFTON,Dining,2.44,
2023-04-18,2023-04-19,7800,HARRIS CLIFTON,Dining,6.17,
2023-04-14,2023-04-17,7800,10TH ST & AVENUE C WIN,Merchandise,39.18,
2023-04-16,2023-04-17,7800,STOP & SHOP 0813,Merchandise,70.25,
2023-04-14,2023-04-17,7800,GEORGIA ROOM AT FREEHA,Dining,23.00,
2023-04-15,2023-04-17,7800,TST* Remedy Diner,Dining,25.46,
2023-04-15,2023-04-17,7800,MTA*NYCT PAYGO,Other Travel,2.75,
2023-04-15,2023-04-17,7800,NJT MOBILE 3001,Other Travel,4.25,
2023-04-14,2023-04-17,7800,SUNNY AND ANNIE'S DELI,Merchandise,13.20,
2023-04-15,2023-04-17,7800,LULULEMON SOHO BROADWA,Merchandise,139.41,
2023-04-14,2023-04-17,7800,TST* Royale,Dining,228.10,
2023-04-15,2023-04-17,7800,adidas 6508 New York,Merchandise,100.00,
2023-04-14,2023-04-15,7800,MTA*NYCT PAYGO,Other Travel,2.75,
2023-04-14,2023-04-15,7800,NJT MOBILE 3001,Other Travel,4.25,
2023-04-14,2023-04-14,7800,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,1078.56
2023-04-13,2023-04-14,7800,Rustos Barber Shop,Other Services,35.05,
