Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
7/19/2022,7/20/2022,7800,HARRIS CLIFTON,Dining,10.04,
7/19/2022,7/20/2022,7800,AMZN Mktp US*G40U82B43,Merchandise,10.65,
7/18/2022,7/19/2022,7800,HARRIS CLIFTON,Dining,7.03,
7/18/2022,7/19/2022,7800,STOP & SHOP 0813,Merchandise,71.75,
7/16/2022,7/18/2022,7800,MTA*NYCT PAYGO,Other Travel,2.75,
7/17/2022,7/18/2022,7800,TST* ZARO'S - GCT TRAC,Dining,4.9,
7/16/2022,7/18/2022,7800,MTA*NYCT PAYGO,Other Travel,2.75,
7/16/2022,7/18/2022,7800,MTA*NYCT PAYGO,Other Travel,2.75,
7/16/2022,7/18/2022,7800,MTA*NYCT PAYGO,Other Travel,2.75,
7/16/2022,7/18/2022,7800,MTA*MNR STATION TIX,Other Travel,27,
7/16/2022,7/18/2022,7800,MTA*MNR STATION TIX,Other Travel,27,
7/16/2022,7/18/2022,7800,RIBALTA,Dining,22.06,
7/15/2022,7/16/2022,7800,J. CREW RETAIL #516,Merchandise,108.48,
7/14/2022,7/16/2022,7800,SUNOCO 0627879000  QPS,Gas/Automotive,79.01,
7/14/2022,7/15/2022,7800,HARRIS CLIFTON,Dining,7.66,
7/14/2022,7/14/2022,7800,CAPITAL ONE ONLINE PYMT,Payment/Credit,,1682.25
7/13/2022,7/14/2022,7800,HARRIS CLIFTON,Dining,12.56,
7/13/2022,7/14/2022,7800,Amazon.com*ZX2WO9KN3,Merchandise,124.64,
7/12/2022,7/13/2022,7800,HARRIS CLIFTON,Dining,9.29,
7/11/2022,7/12/2022,7800,HARRIS CLIFTON,Dining,2.02,
7/11/2022,7/12/2022,7800,HARRIS CLIFTON,Dining,7.03,
7/11/2022,7/12/2022,7800,STOP & SHOP 0813,Merchandise,72.19,
7/10/2022,7/11/2022,7800,PARKFAST #001,Gas/Automotive,30,
7/10/2022,7/11/2022,7800,TST* Wilder,Dining,35.24,
7/10/2022,7/11/2022,7800,TST* Rowhome Coffee,Dining,15.12,
7/10/2022,7/11/2022,7800,TST* SPREAD BAGELRY -,Dining,7.56,
7/9/2022,7/11/2022,7800,BUTCHER BAR - PA,Dining,96.29,
7/8/2022,7/9/2022,7800,HARRIS CLIFTON,Dining,11.54,
7/7/2022,7/8/2022,7800,HARRIS CLIFTON,Dining,12.94,
7/7/2022,7/8/2022,7800,NJT RAIL - MYTIX,Other Travel,43.5,
7/6/2022,7/7/2022,7800,HARRIS CLIFTON,Dining,7.03,
7/6/2022,7/7/2022,7800,SPI*PAID TO PSE&G-NJ,Utilities,18.19,
7/6/2022,7/7/2022,7800,AMZN Mktp US*JU3OD23R3,Merchandise,13.84,
7/6/2022,7/6/2022,7800,OPTIMUM 7870,Phone/Cable,112.99,
7/5/2022,7/6/2022,7800,IWC INTERNATIONAL,Other,15,
7/5/2022,7/6/2022,7800,HARRIS CLIFTON,Dining,15.71,
7/3/2022,7/5/2022,7800,HARVARD BKSTR 90200015,Merchandise,3.72,
6/30/2022,7/1/2022,7800,HARRIS CLIFTON,Dining,15.15,
6/28/2022,6/29/2022,7800,TRADER JOE'S #610 QPS,Merchandise,11.97,
6/28/2022,6/29/2022,7800,HARRIS CLIFTON,Dining,11.45,
6/27/2022,6/28/2022,7800,HARRIS CLIFTON,Dining,9.15,
6/21/2022,6/28/2022,7800,EXPRESSVPN,Merchandise,12.95,
6/26/2022,6/27/2022,7800,SUNOCO 0005026004  QPS,Gas/Automotive,86.02,
6/24/2022,6/25/2022,7800,HARRIS CLIFTON,Dining,14.35,
6/21/2022,6/25/2022,7800,SOUTHSIDE GARAGE,Gas/Automotive,669.7,
6/23/2022,6/24/2022,7800,HARRIS CLIFTON,Dining,9.48,
6/22/2022,6/24/2022,7800,8027 SIG FIT BELLEVILL,Entertainment,976.29,
6/22/2022,6/23/2022,7800,HARRIS CLIFTON,Dining,11.68,
6/21/2022,6/22/2022,7800,HARRIS CLIFTON,Dining,10.42,
6/21/2022,6/22/2022,7800,AMZN MKTP US*T30517G33,Merchandise,17.01,
6/20/2022,6/21/2022,7800,Amazon.com*H34QE83A3,Merchandise,73.36,
6/19/2022,6/20/2022,7800,TST* Stevens Cafe - Pa,Dining,11.4,
6/19/2022,6/20/2022,7800,TARGET        00018226,Merchandise,50.4,
6/19/2022,6/20/2022,7800,SUPREME BAGELS & COFFE,Dining,11.45,
6/18/2022,6/20/2022,7800,TICK TOCK DINER,Dining,19.77,
6/18/2022,6/20/2022,7800,BARNES & NOBLE #2932,Merchandise,40.52,
6/17/2022,6/20/2022,7800,BLARNEY STATION,Dining,31.65,
6/18/2022,6/20/2022,7800,STOP & SHOP 0813,Merchandise,1.07,
6/17/2022,6/20/2022,7800,SHANNON ROSE IRISH PUB,Dining,29.59,
6/18/2022,6/20/2022,7800,LOWES #00907*,Merchandise,692,
