Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
6/28/2022,6/29/2022,7800,TRADER JOE'S #610 QPS,Merchandise,11.97,
6/28/2022,6/29/2022,7800,HARRIS CLIFTON,Dining,11.45,
6/27/2022,6/28/2022,7800,HARRIS CLIFTON,Dining,9.15,
6/21/2022,6/28/2022,7800,EXPRESSVPN,Merchandise,12.95,
6/26/2022,6/27/2022,7800,SUNOCO 0005026004  QPS,Gas/Automotive,86.02,
6/24/2022,6/25/2022,7800,HARRIS CLIFTON,Dining,14.35,
6/21/2022,6/25/2022,7800,SOUTHSIDE GARAGE,Gas/Automotive,669.7,
6/23/2022,6/24/2022,7800,HARRIS CLIFTON,Dining,9.48,
6/22/2022,6/24/2022,7800,8027 SIG FIT BELLEVILL,Entertainment,976.29,
6/22/2022,6/23/2022,7800,HARRIS CLIFTON,Dining,11.68,
6/21/2022,6/22/2022,7800,HARRIS CLIFTON,Dining,10.42,
6/21/2022,6/22/2022,7800,AMZN MKTP US*T30517G33,Merchandise,17.01,
6/20/2022,6/21/2022,7800,Amazon.com*H34QE83A3,Merchandise,73.36,
6/19/2022,6/20/2022,7800,TST* Stevens Cafe - Pa,Dining,11.4,
6/19/2022,6/20/2022,7800,TARGET        00018226,Merchandise,50.4,
6/19/2022,6/20/2022,7800,SUPREME BAGELS & COFFE,Dining,11.45,
6/18/2022,6/20/2022,7800,TICK TOCK DINER,Dining,19.77,
6/18/2022,6/20/2022,7800,BARNES & NOBLE #2932,Merchandise,40.52,
6/17/2022,6/20/2022,7800,BLARNEY STATION,Dining,31.65,
6/18/2022,6/20/2022,7800,STOP & SHOP 0813,Merchandise,1.07,
6/17/2022,6/20/2022,7800,SHANNON ROSE IRISH PUB,Dining,29.59,
6/18/2022,6/20/2022,7800,LOWES #00907*,Merchandise,692,
6/17/2022,6/18/2022,7800,TARGET        00018226,Merchandise,11.39,
6/16/2022,6/18/2022,7800,WENDY'S 0111,Dining,9.54,
6/16/2022,6/17/2022,7800,HARRIS CLIFTON,Dining,7.51,
6/16/2022,6/17/2022,7800,HARRIS CLIFTON,Dining,2.44,
6/15/2022,6/16/2022,7800,TRADER JOE'S #610 QPS,Merchandise,20.27,
6/15/2022,6/16/2022,7800,HARRIS CLIFTON,Dining,9.15,
6/14/2022,6/15/2022,7800,HARRIS CLIFTON,Dining,11.07,
6/13/2022,6/14/2022,7800,CHIPOTLE 0817,Dining,10.08,
6/13/2022,6/14/2022,7800,TARGET        00018226,Merchandise,14.37,
6/14/2022,6/14/2022,7800,CAPITAL ONE ONLINE PYMT,Payment/Credit,,85.05
6/12/2022,6/13/2022,7800,CLIFTON COMMONS SPIRIT,Merchandise,13.5,
6/12/2022,6/13/2022,7800,MCDONALD'S F2926,Dining,20.18,
6/12/2022,6/13/2022,7800,TARGET        00018226,Merchandise,225.46,
6/10/2022,6/11/2022,7800,PARCHMENT-UNIV DOCS,Internet,5.55,
6/8/2022,6/11/2022,7800,PICARD SA,Merchandise,10.28,
6/9/2022,6/10/2022,7800,PAUL ORLY 3 FC 2,Dining,3.12,
6/9/2022,6/10/2022,7800,ID TRATTORIA,Dining,18.7,
6/8/2022,6/10/2022,7800,BIOFUTUR PLAI,Health Care,44.3,
6/9/2022,6/10/2022,7800,FIRST CLASS CAFE,Dining,6.18,
6/7/2022,6/9/2022,7800,FNAC PARLY 2,Merchandise,11.77,
6/7/2022,6/8/2022,7800,PRINTEMPS,Merchandise,106.46,
6/6/2022,6/7/2022,7800,CENTRE DES MONUMENTS N,Other Services,4.2,
6/3/2022,6/4/2022,7800,NYA*LA MAISON LYOVEL,Merchandise,1.72,
